"order_id","payment_sequential","payment_type","payment_installments","payment_value"
"2b73dbb992c0aa00a2f031c7222d8792",1,credit_card,4,366.65
e4d23e4aa01e7ed940ad8a6c2e94934e,1,credit_card,1,81.96
d077de666ab7b62a7aafd596bfd16deb,1,credit_card,3,118.35
"4f922bb38b84918b2711a293c04055aa",1,boleto,1,106.78
c1875eb040541568d58640849b68b052,1,credit_card,2,64.03
"7719f9708389131806ee9274b88c911e",1,credit_card,1,5.50
"327e9810cdacade85a92b9228ab04d1a",1,boleto,1,35.72
"66409e4f380c789c566f4e64a48394af",1,credit_card,2,119.05
"7bccf6f8e394c22407daecb91ff10198",1,credit_card,10,1220.73
"569e8d50e3105686d32f81ad1e012b23",1,boleto,1,52.75
"0301ec492e902f2630234df285fa2a1b",1,credit_card,3,379.20
c2c7f4f0955b1fcd9425c97f401411b8,1,credit_card,7,149.14
"22cbc77349f8317cd8c241cd2a482887",1,boleto,1,148.12
b71ba668b12da5320995cd74acecb2fb,1,credit_card,1,17.96
a7b10e487b0ab6b5e6f059a7fd2e79bc,1,boleto,1,223.72
"8adc2cd3ee5e7b81b1d476e6878714fa",1,credit_card,2,47.77
cee2b107d70b04f20a6b74b7a086c8cf,1,boleto,1,162.25
cd12238095fc7765f26477b48b9cb3b2,1,credit_card,3,77.57
dd359d3c294458c6d642b2eea9212bf5,1,boleto,1,177.20
"62a906256e72774922d85060d98c8a5d",1,credit_card,6,68.13
"0025081dcf9330f9a5052ae82c6ce396",1,credit_card,3,33.18
"826c215c77d0299238e4a2d52a8f5a99",1,credit_card,8,1458.51
"99a4238f13a11d486a5eabe5c8b1a1ab",1,credit_card,1,58.05
cbe1399d12a3b12bfe8fe73a29173053,1,boleto,1,54.01
"7a2f802f8cd01aa62fb904b952932edf",1,credit_card,6,757.95
"0eb0a41e6b1a9ededcb4102af28625fe",1,credit_card,10,119.19
c8b5a04212ccaad7ba2b0a39fb8d0a1d,1,credit_card,5,240.68
"69a94e2d31f0198e63979f367def14a4",1,credit_card,5,133.46
ff7400d904161b62b6e830b3988f5cbd,2,voucher,1,100.00
"80e2b63fdff0ad53daef256e9b0f2c8e",1,credit_card,10,145.37
"666eb76141bb728bad22631162332455",1,boleto,1,31.77
e3a641fa10d7f975e743158d69c10ddd,1,credit_card,8,95.37
"4afa896b00f5e0ed1bb02ca2e8329392",1,credit_card,8,118.87
dc28a299ebc4b33090b37f7419c9b99d,1,credit_card,2,111.21
"0a6667b832116a7484ae779b7b0b91c0",1,boleto,1,155.18
"6fc43344397e467b002e0255391ffc12",1,credit_card,3,149.32
"0eaa4845a6182d6b72de720fb976abd4",1,credit_card,1,367.56
b6de9023a5c02974b26860e83d1643c2,1,boleto,1,177.36
dd44c368afd216d847ae08235e7e0089,1,credit_card,4,41.14
fd4db108a62ede2be6aa8ef940b04fee,1,credit_card,4,219.18
ff564b0dff20427ba484d7e2efe7e7e5,1,credit_card,4,42.78
"42cebac003b40e6aa0b3e37b99d83c2f",1,boleto,1,85.81
"96bac00ebfd18ba64dabd7cb27471282",1,credit_card,2,167.45
"67cfccdc9f8cc58dc90fecf42712731a",1,credit_card,1,30.13
d5a809a7a258b9196d2bde32e7b9546e,1,credit_card,5,146.49
"3399f91082946658c51c68a6562560ff",1,credit_card,6,183.80
"2c3eb0fe0135ed9d71065de1e06f8e01",1,boleto,1,70.89
"25c3705135caa85f274dc20b48e13104",1,credit_card,1,101.25
"1d090f0194c35ed8b589f82f102bd758",1,credit_card,8,585.39
"572277c7077b3c381368920d578e0790",1,credit_card,6,132.72
caeae132e3ebfb4af85f98f054c37ef6,1,boleto,1,87.54
fc2d0ca5fbd67451a5f6afcac20b4805,1,credit_card,3,143.48
ce322da078046d3b1e267b888d563fbe,1,credit_card,8,178.42
"0577713eb945f355426be26104c26b77",1,credit_card,1,97.20
c57d4208bbf0984e623a7f5dc58b99ef,1,debit_card,1,37.61
e302764b4fa6c74b926997b8b171f5d7,1,boleto,1,33.68
a10231eb95955f12c2bbc1e34e25c950,1,credit_card,3,74.49
"0659ee4a8b8b8da8337c94d35e423c74",1,boleto,1,368.94
"47650b179fe1eb21e4f09dee5fc8305b",1,credit_card,8,365.38
"5cd42269d5b45f62c1193d55b23c5ed2",1,credit_card,5,264.98
"1d6df969542603d9f097e871bff9a9b7",1,credit_card,4,90.18
f975710202a96794f2b466c4dbea49e0,1,credit_card,4,136.64
"80f3b3dfb90795a9b5bf61ed8e8df267",1,boleto,1,777.76
"2703a0a31bb43692da23f4da8cf531d0",1,credit_card,1,130.26
"33797bbcfc4f22d40110f77692f83c78",2,voucher,1,5.09
ee9ca989fc93ba09a6eddc250ce01742,7,voucher,1,1.92
a9d38693624248a1c9857cdbbb58d709,1,credit_card,4,57.35
"960dbad4c14e64cd6b327fdccdb2d231",1,credit_card,2,181.24
"21740bea241f06ee46a7febe29061c31",1,credit_card,1,107.78
ca6a26cfe7350f78f24144bc5f5c588d,1,boleto,1,89.63
a9a38bf05e94ce11495d6c4402730a56,1,credit_card,1,56.78
"1b5339b3d49c30108e0aa8c2c2cbbbd8",1,boleto,1,279.91
"49d87c28f1599b558cc93dc1115ea785",1,boleto,1,35.00
a8afb675f678a7b0b1733fa6c8d9c3e0,1,credit_card,4,40.09
b2ca53045aaa7b6e0557028b4c4e70d9,2,voucher,1,100.00
"8b1c9998d2a9e4a2776b425f90619374",1,credit_card,4,141.08
"7ec6638456231f1eec19f7de8723f269",1,credit_card,2,143.06
"4cd78b110e3729b0dbfbf21df03ec1eb",1,credit_card,2,117.12
dfc227d5e6d4ba1e696be1e730e9e796,1,credit_card,1,32.38
c22f4ba5610aa110fb73444de7600a2e,1,credit_card,15,1635.64
"61fc26d9061aa8b8d2863403ac6f800c",1,credit_card,8,148.68
"5e13d329c7f14276973d82e2cd49b490",1,credit_card,3,93.01
"2d164d0e1a9bf9183533b441ccd8796d",1,credit_card,3,75.03
dc3400f2dd273de43a390ec373f09efb,1,credit_card,3,253.74
"18bb4acb90913593d37049c601660009",1,credit_card,2,197.27
"71425ecd58b4f20236e557902a9743f7",3,voucher,1,14.34
f5194ba2a4560ffa0e87746852c61fc1,1,boleto,1,31.75
"54f6bfdef1d09a3f1d99b3914c93aff5",1,boleto,1,36.95
"1d73d3f30d166ae684a1ae877edcead5",1,boleto,1,56.10
"76931aa364051d5d57f6a23aa352956a",1,credit_card,1,341.00
"20ef4f721610e50167d484f950d19b77",1,credit_card,3,99.35
"0eef7e4ed65516867584806c217bd0f4",1,credit_card,1,229.24
d0f7da7e2de84e667e955f4def9e6698,1,boleto,1,283.78
b77200a7cbfba12d399cea6ab05f0056,1,credit_card,5,56.50
"3aee056d5b3555ca96a8090761a712b6",1,credit_card,1,18.74
"732b59a6f2d05d4b23beade8d0a16a0d",1,credit_card,3,39.60
"55746788165fdcc86610e34f6096d321",1,credit_card,1,42.40
"5c94ad4e194c0e6794688a9d2b9ea94b",1,boleto,1,48.13
"5290c34bd38a8a095b885f13958db1e1",1,voucher,1,206.88
e5c4134a422573e560cba643f9318bc1,1,credit_card,2,127.60
"1c1975ccdbd34c48a241f30cc2258dbb",1,debit_card,1,123.21
b7ae858ca9cd4860f4e6516a5e9c4550,1,credit_card,2,71.45
"20e3ed55e75cbbc8176170866df9d1be",1,credit_card,3,147.15
"05a8c94a9361d5496501f6577cf82841",1,credit_card,1,166.59
"6a03d0d3197b58dac687046338e114db",1,boleto,1,35.23
"54d9fc18967ef28a2841c74e800acc84",1,credit_card,4,146.83
c05dd0beb102cea787767476aa03d03e,1,credit_card,1,56.60
"22a00704584f0604e80afe6b4ce031ad",1,credit_card,1,37.58
"38e31ec9d0ed250702ede5bb610d963b",1,credit_card,4,45.44
"186e57039f508947e4bdc91cf933b1bf",1,credit_card,2,155.14
"78886227da2df65c57f57d2fec577bce",1,credit_card,2,111.21
"807e1137296f0952dc5038aadf9d1f76",1,boleto,1,69.12
e33cd806dc139902dbd4f1e2bb2d1775,1,credit_card,8,307.90
"6c3808960b526766ea7a00ae22c020ab",1,credit_card,2,484.65
"32dbe811ae007817cc04c910277dddbd",1,credit_card,1,51.59
"65f881933f86384f769adf62da94be22",1,credit_card,3,190.43
"599c3870e523bd6be85a650381029959",1,credit_card,8,282.62
a31b5fae4fbd29cc31b52b48e467e607,1,credit_card,1,83.17
"75ca39310ce23200e156063e255c3086",1,credit_card,1,85.21
"777f09795a87e5598924d1f7090deeb1",1,credit_card,3,113.94
"4bae63148c0e5ba0afb03cace07f580b",1,credit_card,10,624.90
"22583f00089ad69e494a302349673c44",1,credit_card,2,59.91
"03a579c0699b16c6fc6d5db022a6e85a",1,credit_card,10,314.92
e43005ad5dc9d4727ad0f093ad35283b,1,credit_card,2,111.34
"4d43bfbb3343be92e8d9b221e34271b4",1,credit_card,1,92.60
"34ba2afac95150bb6486265a234bd3b7",1,credit_card,2,100.60
a3e114681cc1e328e884a174f375e41e,1,credit_card,5,112.37
"3399c5d5b9eb49b7a4ec11d7c39a8aec",1,credit_card,3,121.68
"45ef1c8236d1238dc2e98fb191e40f19",1,credit_card,2,138.60
d6a2e1d3b958b6c5cb3af6f1d4d4a203,1,credit_card,5,254.04
dc2b293e65fec525f3c63286396e2b79,1,boleto,1,106.38
"95e6053477d7169c64e6a34a3e329cb7",1,credit_card,2,862.41
a033e71a9fdc7a30404bd7a39d3ad173,1,boleto,1,27.86
"0212767fce39149bfc2e12d54be96f65",1,boleto,1,344.32
"9f05fdb62980c2ae6d8ad1e15bf7ee3f",1,debit_card,1,86.71
eae56efa72774fecde3f265b1fd74e01,1,credit_card,2,117.12
f04c7589129e26f1a095e07ffc2158bf,1,credit_card,6,117.40
